id_alma,nombre,pecado_capital,nivel_corrupcion,fecha_condena,dimension_origen,estado
34,Jacob Thomas,Ira,53,1947-09-14,Limbo,en proceso de tortura
35,Megan Lewis,Soberbia,34,1848-03-20,Sector 7G,activa
36,Erica Gonzalez,Soberbia,32,1929-04-01,Limbo,en proceso de tortura
37,Randy Rodriguez,Ira,75,1875-04-27,Limbo,en proceso de tortura
38,Nicole Estrada,Ira,86,1839-10-30,Abismo,redimida
39,John Mata,Pereza,63,1847-12-16,Tierra,redimida
40,Patricia Reed,Pereza,26,2010-01-26,Tierra,activa
41,Calvin Knight,Pereza,100,1852-07-23,Abismo,en proceso de tortura
42,Douglas Ferguson,Pereza,49,1833-09-03,Sector 7G,redimida
43,Rodney Mcgrath,Lujuria,84,2020-12-01,Limbo,redimida
44,Jeremy Ballard,Pereza,91,1954-12-22,Inframundo,en proceso de tortura
45,Laura Nash,Envidia,52,1891-05-02,Abismo,activa
46,Amanda Mcgrath,Gula,22,2009-11-08,Inframundo,activa
47,Rodney Fox,Ira,37,1913-07-17,Tierra,activa
48,Timothy Berger,Avaricia,37,1925-12-18,Abismo,activa
49,Adam Brandt,Lujuria,61,2019-01-15,Sector 7G,en proceso de tortura
50,Heather Shaw,Avaricia,40,1941-06-21,Tierra,redimida
51,Samantha Carlson,Envidia,38,1938-04-26,Abismo,redimida
52,Aaron Burton,Envidia,44,1987-04-10,Pandemonium,en proceso de tortura
53,John Perez,Envidia,3,2019-08-07,Tierra,en proceso de tortura
54,Alice Villegas,Avaricia,57,1954-07-23,Inframundo,en proceso de tortura
55,Christopher Barnes,Ira,6,1923-02-11,Limbo,activa
56,Matthew Burns,Avaricia,37,1991-04-28,Tierra,redimida
57,Charles Adams,Ira,86,1937-03-26,Abismo,activa
58,Stephanie Gonzalez,Avaricia,0,1842-10-24,Pandemonium,en proceso de tortura
59,Joshua Daniels,Avaricia,25,1867-03-25,Tierra,en proceso de tortura
60,Angela Jackson,Pereza,97,1993-02-03,Sector 7G,activa
61,Anita Gallagher,Avaricia,63,1926-11-24,Sector 7G,en proceso de tortura
62,James Allen,Soberbia,76,1952-01-22,Abismo,redimida
63,Raven Miles,Ira,85,1974-05-09,Tierra,en proceso de tortura
64,Ryan Ruiz,Ira,22,1959-07-09,Abismo,redimida
65,Jacqueline Thompson,Ira,20,1927-07-05,Limbo,en proceso de tortura
66,Eric Davidson,Pereza,45,2004-10-05,Sector 7G,activa
67,James Robinson,Avaricia,16,2003-12-28,Tierra,redimida
68,Theresa Cooper,Envidia,72,1834-12-09,Pandemonium,en proceso de tortura
69,Annette Phillips,Lujuria,48,1890-12-30,Limbo,activa
70,John Allen Jr.,Gula,42,2013-01-08,Tierra,en proceso de tortura
71,Valerie Manning,Avaricia,61,1990-07-20,Sector 7G,en proceso de tortura
72,Kristi Hampton,Soberbia,29,1932-04-27,Abismo,en proceso de tortura
73,Matthew Mullins,Pereza,85,2003-04-12,Inframundo,redimida
74,Andrew Thompson,Ira,92,1856-09-10,Sector 7G,redimida
75,Michael Reilly,Avaricia,95,1847-04-30,Abismo,activa
76,Danny Mason,Soberbia,5,1848-07-22,Pandemonium,redimida
77,Ronald Sanders,Lujuria,30,1920-05-21,Sector 7G,redimida
78,Jacob Johnson,Gula,85,1950-08-16,Sector 7G,en proceso de tortura
79,Dr. Melissa Ortiz,Lujuria,86,1981-08-26,Sector 7G,redimida
80,Seth Elliott,Envidia,55,1884-07-25,Abismo,activa
81,Gregory Nguyen,Gula,98,2023-02-28,Abismo,redimida
82,Eric Hall,Envidia,97,1976-12-30,Limbo,redimida
83,Crystal Odonnell,Envidia,39,1961-10-29,Sector 7G,en proceso de tortura
84,Kim Dunn,Pereza,26,1859-08-28,Inframundo,redimida
85,Karen Maynard,Pereza,34,1983-05-30,Tierra,en proceso de tortura
86,Chelsea Howard,Soberbia,50,1899-07-03,Abismo,activa
87,Michael May,Lujuria,72,1977-04-09,Abismo,activa
88,Patrick Friedman,Envidia,54,2010-06-05,Sector 7G,en proceso de tortura
89,Sandy Thomas,Soberbia,53,1950-08-22,Limbo,activa
90,April Ray,Avaricia,35,1931-04-03,Pandemonium,en proceso de tortura
91,Vanessa Reilly,Pereza,91,1826-04-14,Tierra,en proceso de tortura
92,Hannah Gray,Lujuria,83,1862-01-21,Abismo,en proceso de tortura
93,Kenneth Hill,Envidia,27,1939-07-08,Tierra,activa
94,Jeffery Campbell,Lujuria,18,1903-11-06,Inframundo,en proceso de tortura
95,Brandon Ramos,Lujuria,25,2013-03-07,Tierra,en proceso de tortura
96,Kenneth Jones,Soberbia,82,2013-12-13,Inframundo,redimida
97,Jason Barber,Gula,10,1926-04-11,Limbo,activa
98,William Steele,Gula,11,1933-03-08,Tierra,redimida
99,James Melendez,Avaricia,84,1876-02-08,Pandemonium,redimida
100,Amanda Tran,Soberbia,5,1993-02-12,Sector 7G,activa
101,Melissa Williams,Ira,49,1852-12-09,Pandemonium,redimida
102,Dana Sawyer,Gula,5,1865-12-18,Inframundo,en proceso de tortura
103,Troy Martinez,Envidia,27,1983-03-14,Tierra,en proceso de tortura
104,Jason Costa,Envidia,67,1850-12-28,Abismo,redimida
105,Daniel Hayes,Gula,69,1843-05-25,Inframundo,redimida
106,Adriana Williams,Ira,47,1977-06-20,Pandemonium,activa
107,Jessica Reed,Soberbia,95,1920-04-24,Abismo,activa
108,Kelsey Adams,Ira,39,1841-03-19,Sector 7G,redimida
109,David Collier,Lujuria,18,2023-11-15,Abismo,en proceso de tortura
110,David Mckee,Soberbia,27,2004-09-14,Limbo,redimida
111,John Whitehead,Soberbia,88,1952-05-15,Sector 7G,en proceso de tortura
112,Nicholas Stone,Envidia,8,1901-05-16,Pandemonium,redimida
113,Dean Myers,Soberbia,12,1987-06-10,Limbo,activa
114,Shannon Walton,Ira,13,1897-09-20,Abismo,en proceso de tortura
115,Christine Rodriguez,Ira,2,1964-05-07,Pandemonium,activa
116,Andrew Daniel,Soberbia,44,1931-02-07,Abismo,redimida
117,Christopher Rojas,Gula,11,1877-09-19,Sector 7G,redimida
118,Jared Chambers,Avaricia,100,1863-06-25,Inframundo,en proceso de tortura
119,Dana Williams,Pereza,97,1909-01-29,Abismo,activa
120,Teresa Rogers,Ira,83,1973-12-14,Limbo,redimida
121,Annette Burke,Pereza,85,1897-06-18,Abismo,activa
122,Rebecca Barnes,Pereza,22,1843-04-21,Pandemonium,redimida
123,Nicole Horn,Envidia,29,1981-08-08,Abismo,activa
124,Evan Scott,Envidia,90,1949-04-17,Inframundo,activa
125,Angel Barrera,Avaricia,24,1863-10-05,Limbo,activa
126,Elizabeth Weber,Envidia,64,1863-10-07,Abismo,activa
127,Laura Owen PhD,Avaricia,50,1875-06-01,Inframundo,en proceso de tortura
128,Rick Warren,Ira,72,1936-03-17,Sector 7G,activa
129,Gregory Cox,Soberbia,58,1949-06-01,Limbo,activa
130,James Mcdaniel,Soberbia,92,1991-12-09,Limbo,en proceso de tortura
131,Alexis Ortiz,Gula,88,1842-08-02,Abismo,activa
132,Ms. Anna Nguyen PhD,Envidia,8,1916-05-24,Inframundo,activa
133,William Burton,Gula,55,1871-04-10,Pandemonium,activa
134,Christopher Nelson,Soberbia,44,1942-07-14,Tierra,en proceso de tortura
135,Laura Kelley,Gula,90,1875-04-18,Limbo,en proceso de tortura
136,Lauren Rodriguez,Avaricia,39,1963-03-15,Pandemonium,activa
137,Edward Ballard,Soberbia,14,2004-08-11,Sector 7G,redimida
138,Kenneth Bell,Gula,29,1867-02-19,Abismo,en proceso de tortura
139,Jonathan Davis,Envidia,94,1995-06-23,Inframundo,activa
140,Terri Moreno,Gula,78,1867-12-24,Pandemonium,en proceso de tortura
141,Tracy Salinas,Pereza,93,1865-05-02,Abismo,en proceso de tortura
142,Kim Clay,Avaricia,20,1918-05-01,Pandemonium,en proceso de tortura
143,Tamara Walker,Envidia,50,1838-12-04,Tierra,en proceso de tortura
144,Billy Watson,Envidia,86,2021-05-24,Pandemonium,redimida
145,James Howell,Ira,72,2003-12-28,Tierra,activa
146,Kellie Ferguson,Ira,50,1950-09-28,Abismo,en proceso de tortura
147,Mark Raymond,Envidia,82,1988-01-26,Limbo,en proceso de tortura
148,Robert Huynh,Avaricia,35,1960-08-02,Abismo,redimida
149,Richard Kelly,Gula,0,1955-05-03,Abismo,redimida
150,David Jackson,Avaricia,99,1980-11-04,Tierra,activa
151,Lisa Hernandez,Pereza,0,1968-03-14,Limbo,redimida
152,Steven Garrett,Soberbia,44,1994-12-24,Sector 7G,en proceso de tortura
153,Eric Berry,Gula,34,2025-03-18,Abismo,activa
154,Brian Dennis,Lujuria,73,1954-08-04,Inframundo,en proceso de tortura
155,Nathan Morales MD,Gula,59,1827-08-12,Pandemonium,activa
156,William Watson,Ira,8,1907-03-16,Limbo,activa
157,Mrs. Angela Meyers,Gula,26,1901-04-26,Pandemonium,activa
158,Daniel Mooney,Pereza,56,1870-06-29,Tierra,en proceso de tortura
159,Jason Lloyd,Ira,58,2009-12-31,Inframundo,activa
160,Billy Johnson,Soberbia,89,1854-06-10,Abismo,en proceso de tortura
161,Emily Bates,Ira,53,1866-05-29,Sector 7G,en proceso de tortura
162,Andrea Howell,Envidia,57,1931-11-22,Pandemonium,en proceso de tortura
163,Nicole Gross,Envidia,28,1866-12-08,Tierra,en proceso de tortura
164,Nicole Sanchez,Ira,48,1888-02-07,Limbo,redimida
165,Charles Smith,Lujuria,31,2010-12-15,Abismo,activa
166,Melissa Silva,Lujuria,70,1916-01-16,Abismo,activa
167,John Blevins,Envidia,89,1888-05-28,Tierra,redimida
168,Dr. Matthew Nelson,Pereza,25,1957-10-17,Limbo,redimida
169,Kathy Robles,Pereza,30,1911-06-04,Inframundo,en proceso de tortura
170,Mary Tate,Lujuria,5,2003-12-28,Pandemonium,activa
171,Taylor Peterson,Pereza,16,2021-09-09,Sector 7G,activa
172,Jackson Harrison,Gula,0,1839-10-07,Sector 7G,en proceso de tortura
173,Jenna Marquez,Ira,23,1854-04-18,Limbo,en proceso de tortura
174,Jake Vasquez,Lujuria,26,1872-01-20,Abismo,redimida
175,Yvonne Parker,Avaricia,57,1987-01-12,Inframundo,activa
176,Paul Miller,Soberbia,5,1980-09-30,Limbo,redimida
177,Kristina Mejia,Soberbia,80,1971-10-29,Inframundo,en proceso de tortura
178,Nicole Jackson,Envidia,50,1885-12-11,Sector 7G,redimida
179,Joseph Soto,Soberbia,70,2024-03-25,Inframundo,en proceso de tortura
180,Jason Hamilton,Lujuria,100,1931-06-14,Tierra,activa
181,Patrick Velasquez,Avaricia,57,2024-05-23,Limbo,en proceso de tortura
182,Marcus Wilson,Pereza,51,1850-03-03,Abismo,activa
183,Brittany Rivers,Avaricia,55,1966-10-05,Limbo,redimida
184,Leah King,Avaricia,13,1830-12-24,Abismo,en proceso de tortura
185,James Marshall,Lujuria,59,1867-11-06,Sector 7G,en proceso de tortura
186,Crystal Warren,Gula,71,2021-02-13,Abismo,activa
187,Joshua Martinez,Gula,33,1936-12-12,Pandemonium,en proceso de tortura
188,Hannah Carlson,Gula,23,1906-11-28,Sector 7G,en proceso de tortura
189,Melissa Armstrong,Pereza,96,1867-10-05,Tierra,redimida
190,Meredith Smith,Avaricia,50,1987-03-28,Pandemonium,activa
191,Joshua Mayo,Avaricia,2,1859-10-28,Sector 7G,activa
192,Michelle Jones,Soberbia,84,1924-01-12,Sector 7G,en proceso de tortura
193,Jason Mercer,Pereza,1,1830-10-28,Abismo,activa
194,James Schwartz,Avaricia,73,1961-05-10,Sector 7G,en proceso de tortura
195,Michael Owens,Soberbia,54,2003-01-17,Sector 7G,en proceso de tortura
196,Elizabeth Jordan,Ira,86,1962-02-24,Tierra,en proceso de tortura
197,Darlene Diaz,Ira,81,1980-08-30,Abismo,activa
198,Gregory Brown,Avaricia,5,1834-09-09,Limbo,redimida
199,Danielle Robertson,Ira,70,1908-06-30,Inframundo,en proceso de tortura
200,Thomas Willis,Lujuria,68,1962-09-05,Tierra,redimida
201,Edwin Hoffman,Gula,62,1831-08-15,Tierra,redimida
202,Mr. Tony Barnett,Gula,71,1881-06-16,Inframundo,en proceso de tortura
203,Billy Hill,Pereza,28,1992-06-07,Abismo,activa
204,Amy Henry,Soberbia,96,1885-08-03,Pandemonium,redimida
205,Angel Austin,Soberbia,72,1993-04-05,Limbo,redimida
206,Jennifer Marks,Lujuria,50,1948-01-06,Pandemonium,activa
207,Kelly Gardner,Soberbia,98,1840-01-13,Inframundo,en proceso de tortura
208,Luke Cook,Lujuria,69,1869-11-21,Limbo,en proceso de tortura
209,Veronica Douglas,Gula,67,1868-03-15,Limbo,activa
210,Brett Stewart,Envidia,72,1939-11-10,Tierra,en proceso de tortura
211,Miss Olivia Scott,Lujuria,24,1871-08-03,Pandemonium,activa
212,Margaret Cole,Pereza,100,1958-03-07,Inframundo,activa
213,David Vang,Envidia,65,1930-02-27,Inframundo,activa
214,Gabriel Vargas,Lujuria,59,1866-12-30,Limbo,activa
215,Gabriel Hernandez,Lujuria,23,1990-12-09,Tierra,activa
216,Diane Bradley,Ira,87,1938-07-09,Sector 7G,activa
217,Brenda Cortez,Pereza,24,1942-01-30,Tierra,redimida
218,Michelle Owen,Ira,15,1855-06-18,Tierra,activa
219,Michele Franklin,Gula,59,1959-09-27,Tierra,redimida
220,Kaitlyn Johnson,Lujuria,59,1912-12-09,Sector 7G,redimida
221,Matthew Perez,Ira,39,1964-09-13,Sector 7G,activa
222,Christopher Buchanan,Envidia,42,1959-08-21,Abismo,activa
223,Angela Williams,Soberbia,20,1911-04-29,Inframundo,en proceso de tortura
224,Kelly Copeland MD,Envidia,13,1914-11-06,Inframundo,activa
225,Scott Waters,Gula,96,1911-08-25,Inframundo,redimida
226,Jonathan Mcguire,Lujuria,39,1922-04-30,Sector 7G,redimida
227,John Roberts,Soberbia,13,1870-02-08,Tierra,redimida
228,Judy Ellis,Lujuria,13,1884-11-07,Limbo,en proceso de tortura
229,Kyle Tucker,Pereza,50,2005-09-15,Limbo,redimida
230,Michael Pope,Ira,73,2002-09-21,Inframundo,en proceso de tortura
231,Shawn Mays,Pereza,72,1844-04-06,Limbo,activa
232,Catherine Williams,Ira,98,1873-10-14,Inframundo,redimida
233,Shawn Warren,Soberbia,11,1964-08-10,Pandemonium,en proceso de tortura
234,Jessica Phillips,Avaricia,67,1847-05-14,Limbo,activa
235,Katie Villa,Envidia,36,2024-06-06,Limbo,en proceso de tortura
236,Jared Bell,Pereza,68,1937-01-30,Pandemonium,redimida
237,Ashley Woodard,Lujuria,94,1931-02-15,Pandemonium,redimida
238,Jennifer Cook,Soberbia,22,1909-07-10,Tierra,activa
239,Frank Herring,Envidia,47,1983-03-18,Abismo,en proceso de tortura
240,Stefanie Pierce,Avaricia,73,1838-07-30,Abismo,activa
241,Jake Vincent,Gula,70,1844-08-15,Sector 7G,activa
242,Dawn Smith,Ira,66,1851-04-20,Sector 7G,redimida
243,Richard Simpson,Pereza,91,2017-03-13,Tierra,en proceso de tortura
244,Claudia Richardson,Avaricia,80,1855-07-15,Pandemonium,activa
245,Sharon Norton,Envidia,44,1949-08-09,Abismo,en proceso de tortura
246,Annette White,Envidia,15,1946-07-22,Limbo,en proceso de tortura
247,Angela Allen,Pereza,50,2008-03-01,Limbo,redimida
248,James Solis,Envidia,21,1868-11-12,Pandemonium,activa
249,Donna Bush,Lujuria,21,2023-02-28,Sector 7G,activa
250,Tiffany Cruz,Pereza,33,1916-09-17,Inframundo,redimida
251,Lindsey Hernandez,Avaricia,97,2003-12-28,Tierra,redimida
252,Gregory Ramirez,Ira,65,1958-06-07,Abismo,redimida
253,Scott Gray,Avaricia,31,1970-02-12,Tierra,en proceso de tortura
254,Richard Thomas DVM,Lujuria,73,1898-10-24,Sector 7G,en proceso de tortura
255,Valerie Fox,Pereza,41,1965-01-17,Tierra,activa
256,Cory Higgins,Avaricia,93,1895-10-20,Sector 7G,activa
257,Larry Walters,Ira,79,1992-12-28,Sector 7G,en proceso de tortura
258,Dylan Hamilton,Ira,58,2000-03-10,Inframundo,en proceso de tortura
259,Jessica Hernandez,Envidia,1,1960-05-28,Pandemonium,activa
260,Edward Henry,Soberbia,9,2002-06-29,Limbo,en proceso de tortura
261,Amanda Shields,Gula,30,1898-03-03,Pandemonium,activa
262,Jenna Mitchell,Envidia,10,2016-01-18,Tierra,activa
263,Ellen Brown,Gula,86,1900-02-10,Inframundo,redimida
264,Stephanie Daniels,Pereza,78,1881-10-19,Inframundo,en proceso de tortura
265,Jessica Garcia,Ira,51,1952-07-26,Pandemonium,redimida
266,Crystal Mitchell,Pereza,99,1847-05-23,Inframundo,redimida
267,Ricardo Baldwin,Lujuria,19,1958-08-18,Limbo,en proceso de tortura
268,Mark Donovan,Envidia,76,1982-01-27,Inframundo,en proceso de tortura
269,Shannon Perez,Ira,40,1869-02-28,Tierra,redimida
270,Jennifer Mueller,Soberbia,38,1952-09-17,Pandemonium,en proceso de tortura
271,Erik Holmes,Lujuria,40,1979-08-11,Inframundo,redimida
272,Sarah Lopez,Soberbia,64,1879-08-17,Limbo,en proceso de tortura
273,Annette Murray,Gula,55,2014-04-15,Tierra,redimida
274,David Miller,Lujuria,87,1884-11-12,Abismo,redimida
275,Martin Morrow,Pereza,93,1923-08-02,Pandemonium,en proceso de tortura
276,Mary Smith,Avaricia,73,1990-01-10,Sector 7G,redimida
277,Tina Proctor,Avaricia,34,1862-09-23,Abismo,en proceso de tortura
278,Ashley Henson,Avaricia,18,1875-09-20,Tierra,activa
279,Michael Taylor,Envidia,46,1995-10-21,Inframundo,en proceso de tortura
280,Samantha Bryant,Envidia,74,1900-06-01,Sector 7G,activa
281,Andrea Scott,Lujuria,91,1947-10-18,Abismo,en proceso de tortura
282,Linda Morrison,Pereza,80,1827-05-11,Abismo,activa
283,Kimberly Hughes,Ira,5,1846-01-06,Inframundo,redimida
284,Sarah Davis,Ira,34,1965-01-02,Pandemonium,activa
285,Douglas Clark,Soberbia,64,1835-06-04,Inframundo,en proceso de tortura
286,Douglas Brady,Envidia,11,1982-10-08,Sector 7G,redimida
287,Marcus Hamilton,Pereza,51,1912-08-15,Inframundo,redimida
288,Ronnie Jones,Ira,93,1948-02-20,Tierra,redimida
289,Katie Benson,Pereza,43,2024-02-20,Abismo,en proceso de tortura
290,Natasha Barnes,Pereza,29,1959-04-07,Limbo,en proceso de tortura
291,Judith Davis,Gula,60,1988-09-03,Limbo,activa
292,Heather Ortega,Avaricia,77,1831-06-16,Sector 7G,en proceso de tortura
293,Janice Martin,Lujuria,91,1966-04-08,Limbo,activa
294,Elizabeth Haas,Soberbia,7,1977-01-31,Pandemonium,en proceso de tortura
295,Catherine Keith,Pereza,63,2022-06-22,Inframundo,redimida
296,Trevor Miller,Pereza,43,2005-12-05,Limbo,redimida
297,Brian Moon,Pereza,31,1951-11-08,Limbo,activa
298,Micheal Ortiz,Avaricia,68,1878-04-21,Abismo,activa
299,Kevin Smith,Gula,76,1898-12-19,Sector 7G,activa
300,Jeremy Tate,Envidia,45,1826-08-26,Inframundo,activa
301,Jennifer Haynes,Gula,64,2012-06-24,Sector 7G,activa
302,Donald Howell,Envidia,56,1861-02-22,Pandemonium,activa
303,Tonya Smith,Lujuria,68,1973-10-19,Tierra,redimida
304,Sean Lewis,Pereza,58,1921-02-08,Pandemonium,en proceso de tortura
305,Dakota Collier,Pereza,55,1981-12-18,Tierra,en proceso de tortura
306,Katelyn Johnson,Avaricia,6,1977-07-09,Sector 7G,activa
307,Kelly Sloan,Pereza,58,1846-12-13,Tierra,activa
308,Sarah Santiago,Gula,10,2014-10-14,Tierra,activa
309,Alexander Smith,Avaricia,30,1873-06-27,Limbo,activa
310,Ronald Moody,Avaricia,99,1972-06-18,Tierra,redimida
311,Samantha Little,Envidia,75,1892-10-14,Inframundo,en proceso de tortura
312,Yolanda Carter,Ira,4,1890-06-19,Pandemonium,en proceso de tortura
313,Nathan Rodriguez,Pereza,49,2020-07-28,Limbo,en proceso de tortura
314,Jonathan Schneider,Ira,39,1970-10-05,Pandemonium,redimida
315,Kenneth Wheeler,Gula,29,1835-03-11,Inframundo,en proceso de tortura
316,Amy Crawford,Envidia,73,1981-04-12,Inframundo,en proceso de tortura
317,Sarah Jackson,Pereza,32,1862-05-29,Limbo,redimida
318,William Smith,Soberbia,98,1912-05-19,Inframundo,redimida
319,Ian Villa,Pereza,60,1849-07-14,Limbo,en proceso de tortura
320,Beth Castro,Pereza,76,1905-07-28,Pandemonium,redimida
321,Andrew Kramer,Avaricia,37,2003-12-28,Sector 7G,en proceso de tortura
322,David Caldwell,Gula,50,1893-06-07,Pandemonium,redimida
323,Lauren Dawson,Envidia,89,1966-06-02,Pandemonium,activa
324,Jessica Holloway,Gula,23,1976-01-29,Sector 7G,activa
325,Richard Page,Pereza,69,2003-12-28,Sector 7G,en proceso de tortura
326,Brandon Schroeder,Avaricia,49,1892-01-03,Sector 7G,redimida
327,Alison Meyer,Pereza,9,1931-06-10,Limbo,redimida
328,Taylor Ross,Soberbia,18,1951-07-18,Sector 7G,en proceso de tortura
329,Alexandra Villa,Avaricia,96,1882-01-05,Tierra,activa
330,Dr. Casey Lawrence,Avaricia,9,1919-02-03,Abismo,activa
331,Angela Jones,Envidia,81,1942-11-14,Tierra,activa
332,Connie Warren,Pereza,87,1951-10-20,Tierra,en proceso de tortura
333,Natalie Taylor,Soberbia,38,2003-12-28,Limbo,activa
334,William George,Ira,61,1970-08-03,Abismo,redimida
335,Timothy Miller,Soberbia,45,1928-05-24,Limbo,en proceso de tortura
336,Victor Williams,Avaricia,68,1883-01-31,Limbo,en proceso de tortura
337,Tanya Hodges,Pereza,7,1987-03-02,Abismo,activa
338,David Hart,Avaricia,28,1872-02-20,Pandemonium,activa
339,Joshua Griffith,Gula,55,2007-03-21,Inframundo,redimida
340,Amanda Wells,Envidia,70,1946-04-12,Inframundo,activa
341,Katie Johnson,Avaricia,50,1982-03-09,Pandemonium,redimida
342,Kristen Martinez,Envidia,0,1945-12-18,Sector 7G,en proceso de tortura
343,Kathryn Garcia,Soberbia,38,1904-10-26,Abismo,redimida
344,Kayla Gonzalez,Avaricia,5,1833-11-12,Limbo,en proceso de tortura
345,Renee Jackson,Avaricia,7,1940-09-16,Tierra,redimida
346,Lisa Black DDS,Avaricia,96,1853-10-21,Abismo,activa
347,Kelly Johnson,Avaricia,50,1949-02-04,Tierra,redimida
348,Matthew Obrien,Lujuria,55,1923-11-04,Pandemonium,en proceso de tortura
349,Martin Hernandez,Soberbia,62,1927-02-17,Sector 7G,en proceso de tortura
350,Francisco Phillips,Soberbia,24,1895-05-10,Tierra,redimida
351,Amy Cisneros,Gula,13,1939-07-04,Pandemonium,redimida
352,Victoria Coleman,Soberbia,53,1933-11-01,Sector 7G,activa
353,Rebekah Hunter,Envidia,64,1932-01-19,Inframundo,redimida
354,Russell Anderson,Gula,50,2024-08-04,Tierra,activa
355,Chelsea Meza,Ira,50,1871-02-14,Inframundo,en proceso de tortura
356,Alexandria Pope,Gula,89,2003-12-28,Limbo,en proceso de tortura
357,Paul Christian,Gula,84,1860-05-02,Limbo,en proceso de tortura
358,Benjamin Kim,Lujuria,12,1941-02-08,Limbo,en proceso de tortura
359,Ruben Lee,Lujuria,65,1946-03-24,Inframundo,redimida
360,Maria Foley,Pereza,20,1955-03-10,Sector 7G,activa
361,Alexandria Miles,Pereza,8,1902-05-27,Limbo,redimida
362,James Deleon,Pereza,92,1899-08-25,Limbo,en proceso de tortura
363,Michelle Leon,Envidia,23,2000-05-28,Sector 7G,en proceso de tortura
364,Alexandra Taylor,Ira,27,1962-08-05,Sector 7G,en proceso de tortura
365,Corey Garcia,Soberbia,77,2018-01-27,Pandemonium,redimida
366,Mary Reynolds,Envidia,98,1863-05-27,Pandemonium,en proceso de tortura
367,Jill Chandler,Ira,41,2015-06-09,Sector 7G,redimida
368,Sean Moses,Pereza,38,1828-11-04,Abismo,en proceso de tortura
369,Sara Mosley,Pereza,41,1924-11-09,Inframundo,activa
370,Haley King,Soberbia,62,1972-06-05,Pandemonium,redimida
371,Elizabeth Dixon,Gula,75,1903-05-20,Limbo,en proceso de tortura
372,Jodi Foster,Gula,0,1959-01-01,Tierra,redimida
373,Austin Reyes,Avaricia,74,1961-10-28,Sector 7G,en proceso de tortura
374,Alan Greene,Pereza,55,1886-09-28,Inframundo,activa
375,Madison Williams,Envidia,78,1906-01-05,Sector 7G,activa
376,Corey Anderson,Avaricia,88,1973-12-05,Tierra,redimida
377,John Armstrong,Gula,77,1929-11-26,Inframundo,activa
378,Christopher Davis,Pereza,25,1957-04-06,Abismo,redimida
379,Phyllis Romero,Soberbia,63,1938-09-12,Sector 7G,en proceso de tortura
380,Gary Hernandez,Soberbia,23,1979-06-13,Sector 7G,redimida
381,Michael Rodriguez,Avaricia,50,1964-12-28,Tierra,redimida
382,Daniel Ramsey,Avaricia,22,1920-07-23,Abismo,activa
383,Danny Davis,Envidia,1,1928-10-30,Tierra,en proceso de tortura
384,Jennifer Myers,Soberbia,79,2007-12-28,Sector 7G,en proceso de tortura
385,Adrian Brown,Avaricia,67,1887-03-28,Sector 7G,activa
386,Timothy Rose,Pereza,83,1840-03-05,Limbo,activa
387,April Ramirez,Gula,99,1918-03-27,Sector 7G,en proceso de tortura
388,Alexandra Jones,Avaricia,82,1851-07-26,Inframundo,redimida
